Start,End,Text
00:00:00.000,00:00:06.240,"I may not be a professional gumshoe, but I still do enjoy a good old detective larp."
00:00:06.240,00:00:12.000,And I do say not to tut my own horn. I'm not bad at it. Am I the best detective in the world?
00:00:13.440,00:00:18.880,Yeah. Probably. A lot of people call me the bearded L from Death Note.
00:00:18.880,00:00:23.760,"I once cracked the case on the whereabouts of DB Cooper. Don't need to get into the weeds of that again,"
00:00:23.760,00:00:28.800,"Belong Story Short. Fish on narrative was wrong. He did survive the jump from the plane,"
00:00:28.800,00:00:33.120,only to perish at Dashcon Furry Convention 2014 in the ball pit.
00:00:33.680,00:00:38.400,"Anyway, though, I wanted to put these skills to the test here because I just saw something"
00:00:38.400,00:00:44.480,"pretty interesting here. A case that on the surface seems simple, straight forward, not overly"
00:00:44.480,00:00:51.440,unusual. It was a man selling his scooter to another man and ended up with the scooter being driven
00:00:51.440,00:00:55.520,"away stolen out from underneath him. A song and dance you've heard a million times,"
00:00:55.520,00:01:00.480,especially with things like Facebook Marketplace where shit's happening every five minutes.
00:01:01.360,00:01:05.840,"And to the untrained eye, it seemed like just another one of those instances. But"
00:01:07.280,00:01:11.440,rabbit hole goes deeper than you might think. Let's start here at the beginning.
00:01:22.240,00:01:32.880,"Yeah, it's really good. It's recently, if it's a big good battery."
00:01:32.880,00:01:35.200,A few moments later.
00:01:35.200,00:01:37.520,Oh my god!
00:01:39.200,00:01:45.280,"We're going. The spamming of TikTok and YouTube short sound effects there, the meme"
00:01:45.280,00:01:52.800,stock sound effect package. Kind of annoying. But this is what happened. So he brings this
00:01:52.800,00:01:59.360,"scooter here for this deal. He asks, can I ride it? Take it for a bit of a test drive, a little spin"
00:01:59.360,00:02:04.880,"there. And so he pulls out a little bit, it does a little pirouet and then just peels out going"
00:02:04.880,00:02:09.920,"through the gas station. The seller then starts giving chase jogging after him. Like, where are you going?"
00:02:10.240,00:02:16.880,Hey man boy. Hey.
00:02:22.000,00:02:23.200,Hey.
00:02:25.200,00:02:29.440,Stop. Stop me. My scooter restored it.
00:02:30.880,00:02:35.600,"He tries to alert others in the area that his scooter has been stolen asking for help,"
00:02:35.600,00:02:41.760,but no one steps into like clothes line him or anything like that. It's just the low speed pursuit
00:02:41.760,00:02:45.840,here. I don't even think that's top speed on the scooter. I think this guy was just doing it to
00:02:45.840,00:02:51.760,"like taunt him, like just stay just barely out of range. Because it sounds like this guy is running"
00:02:51.760,00:02:56.400,"in like sandals or flip flops or something. So he's not able to really like, fucking zip at him"
00:02:56.400,00:03:00.720,"there, like really start to zoom in or anything. So he's just doing the best he can to keep up"
00:03:00.800,00:03:06.480,as he's getting more or getting further and further away. And I know what you're thinking here
00:03:06.480,00:03:10.240,"where like, oh, maybe this is a fake video. Maybe this is like a rage bait type of thing. Maybe"
00:03:10.240,00:03:15.120,it's all like phony baloney for the sake of being a viral video. And I thought the same at first too.
00:03:15.120,00:03:21.120,"Because it does feel like a little wacky because when you're doing a deal like this, I think it's"
